city,latitude,longitude,date,NO2,SO2,CO,O3,AOD,temperature,humidity,wind_speed,rainfall,pressure,PM2.5,PM10
Chennai,13.0827,80.2707,2024-01-20,42.492,18.957,0.6917,7.389,0.5257,24.56,75.03,5.43,6.57,1010.66,81.11,162.35
Chennai,13.0827,80.2707,2024-01-21,48.823,12.605,0.5549,19.424,0.36,28.6,78.51,8.36,0.0,1015.95,64.21,112.48
Chennai,13.0827,80.2707,2024-01-22,35.651,12.843,0.7175,17.684,0.4051,23.02,67.7,2.43,0.0,1007.1,77.43,145.65
Chennai,13.0827,80.2707,2024-01-23,42.458,14.435,0.8114,21.592,0.5639,25.78,69.18,9.04,0.0,1011.38,73.25,126.93
Chennai,13.0827,80.2707,2024-01-24,51.846,14.734,0.5942,20.502,0.4641,25.09,70.52,9.64,3.37,1009.61,61.86,103.24
Chennai,13.0827,80.2707,2024-01-25,43.719,17.023,0.6883,25.422,0.5761,24.26,64.53,9.3,0.0,1012.83,80.53,140.73
Chennai,13.0827,80.2707,2024-01-26,48.893,17.999,0.7136,20.983,0.6745,28.43,75.68,10.71,0.0,1011.06,91.01,185.41
Chennai,13.0827,80.2707,2024-01-27,46.398,15.265,0.7085,15.158,0.6794,23.88,59.61,10.34,0.0,1013.37,79.68,157.27
Chennai,13.0827,80.2707,2024-01-28,40.722,14.616,0.5787,25.313,0.496,24.36,66.91,8.49,0.0,1009.31,72.06,112.47
Chennai,13.0827,80.2707,2024-01-29,43.941,13.926,0.6708,11.129,0.4199,24.66,67.93,8.24,0.0,1015.43,73.37,149.96
Chennai,13.0827,80.2707,2024-01-30,40.067,14.385,0.6079,21.387,0.447,27.79,82.05,7.2,4.06,1012.21,65.05,106.3
Chennai,13.0827,80.2707,2024-01-31,50.453,15.513,0.6413,33.432,0.5382,25.44,84.82,10.48,0.0,1016.45,73.29,111.94
Chennai,13.0827,80.2707,2024-02-01,49.277,11.36,0.6843,18.307,0.4044,29.14,55.61,2.71,0.0,1012.09,94.23,180.06
Chennai,13.0827,80.2707,2024-02-02,57.047,17.207,0.6746,20.755,0.5274,27.33,61.46,8.35,0.0,1010.74,97.66,195.6
Chennai,13.0827,80.2707,2024-02-03,28.532,9.995,0.4408,14.86,0.3701,30.42,72.88,6.73,6.16,1006.2,33.87,63.13
Chennai,13.0827,80.2707,2024-02-04,42.597,12.254,0.7928,23.329,0.4886,30.54,71.45,10.47,0.0,1011.2,67.02,123.09
Chennai,13.0827,80.2707,2024-02-05,48.173,15.16,0.7147,13.301,0.5333,29.35,56.6,4.58,0.0,1004.88,95.61,163.4
Chennai,13.0827,80.2707,2024-02-06,53.226,20.737,0.6087,10.953,0.5866,27.7,70.55,2.38,0.0,1010.73,148.69,244.46
Chennai,13.0827,80.2707,2024-02-07,41.707,13.843,0.5641,19.965,0.5919,24.32,74.98,6.23,0.19,1008.62,89.39,140.55
Chennai,13.0827,80.2707,2024-02-08,36.106,11.903,0.3654,15.638,0.4157,28.11,80.72,9.7,0.0,1009.14,46.59,75.05
Chennai,13.0827,80.2707,2024-02-09,35.827,17.737,0.5587,14.707,0.3221,29.0,63.32,7.66,0.0,1013.91,60.86,95.21
Chennai,13.0827,80.2707,2024-02-10,37.988,14.888,0.6497,21.739,0.5842,24.26,66.12,5.67,0.0,1009.95,101.3,188.03
Chennai,13.0827,80.2707,2024-02-11,53.603,14.005,0.6986,38.02,0.6391,25.85,84.14,6.65,0.0,1008.99,108.81,205.38
Chennai,13.0827,80.2707,2024-02-12,37.688,10.943,0.4847,13.351,0.3686,25.86,66.61,6.68,0.38,1009.76,49.23,100.33
Chennai,13.0827,80.2707,2024-02-13,40.199,14.745,0.6172,18.172,0.4331,25.6,77.79,8.9,0.0,1008.07,65.78,120.65
Chennai,13.0827,80.2707,2024-02-14,37.376,10.205,0.5293,11.931,0.2932,23.02,72.26,8.32,1.74,1008.29,40.91,65.16
Chennai,13.0827,80.2707,2024-02-15,47.846,18.353,0.7768,21.196,0.7272,29.91,78.17,5.88,0.0,1018.3,139.55,238.54
Chennai,13.0827,80.2707,2024-02-16,45.164,15.302,0.7549,19.163,0.5088,25.7,76.82,6.91,0.0,1010.04,83.4,158.4
Chennai,13.0827,80.2707,2024-02-17,33.452,9.883,0.5055,13.23,0.4268,25.55,54.39,10.35,0.0,1008.47,36.5,59.83
Chennai,13.0827,80.2707,2024-02-18,46.343,15.284,0.6003,13.784,0.4938,27.7,76.91,5.55,0.0,1009.8,85.11,159.32
Chennai,13.0827,80.2707,2024-02-19,48.981,14.439,0.7154,14.453,0.4796,31.12,75.69,6.89,0.0,1013.49,91.42,143.19
Chennai,13.0827,80.2707,2024-02-20,47.497,15.033,0.6498,29.188,0.6394,30.86,80.65,3.7,0.0,1011.84,121.26,195.1
Chennai,13.0827,80.2707,2024-02-21,48.395,12.304,0.4281,21.005,0.6831,26.94,73.07,12.26,0.0,1012.77,63.9,122.97
Chennai,13.0827,80.2707,2024-02-22,38.549,11.451,0.7773,21.222,0.5047,27.27,79.05,14.17,0.0,1012.57,43.43,66.57
Chennai,13.0827,80.2707,2024-02-23,45.237,17.452,0.4698,20.45,0.5931,30.73,66.36,4.09,0.0,1010.22,113.36,179.62
Chennai,13.0827,80.2707,2024-02-24,36.246,15.315,0.5871,25.962,0.3507,25.06,77.15,5.87,0.0,1010.51,68.25,122.94
Chennai,13.0827,80.2707,2024-02-25,39.951,11.127,0.5993,17.281,0.4497,34.09,64.26,11.37,0.0,1003.02,46.97,81.75
Chennai,13.0827,80.2707,2024-02-26,37.461,12.206,0.4947,15.972,0.4415,29.8,62.6,7.02,2.52,1010.79,52.37,99.26
Chennai,13.0827,80.2707,2024-02-27,40.015,13.628,0.6886,13.221,0.5711,27.18,70.31,9.72,0.0,1012.33,70.0,121.68
Chennai,13.0827,80.2707,2024-02-28,39.521,12.822,0.4942,18.673,0.3364,30.14,71.93,6.67,0.96,1014.15,54.01,100.15
Chennai,13.0827,80.2707,2024-02-29,38.315,17.447,0.455,9.794,0.4738,30.32,73.25,7.16,0.63,1015.04,77.8,141.98
Chennai,13.0827,80.2707,2024-03-01,38.361,11.565,0.4811,16.438,0.4151,26.6,67.36,8.52,1.62,1008.06,46.67,88.25
Chennai,13.0827,80.2707,2024-03-02,42.03,15.713,0.6722,12.719,0.4766,27.61,80.13,9.01,0.36,1003.89,61.43,119.35
Chennai,13.0827,80.2707,2024-03-03,38.829,12.41,0.4826,14.273,0.3814,25.63,82.19,5.71,0.0,1018.9,69.12,142.52
Chennai,13.0827,80.2707,2024-03-04,40.459,10.909,0.5312,31.27,0.4119,31.0,68.22,8.02,0.0,1016.31,54.18,95.4
Chennai,13.0827,80.2707,2024-03-05,41.92,15.763,0.714,25.204,0.3844,26.37,71.94,7.96,1.56,1012.86,67.35,136.31
Chennai,13.0827,80.2707,2024-03-06,48.739,17.334,0.7281,18.422,0.5565,24.44,73.53,10.22,2.39,1011.4,70.25,117.91
Chennai,13.0827,80.2707,2024-03-07,44.334,13.158,0.5756,25.01,0.4226,28.56,70.37,7.12,2.38,1010.07,63.59,108.36
Chennai,13.0827,80.2707,2024-03-08,40.348,13.501,0.4062,15.108,0.5153,30.55,76.41,4.86,4.08,1012.76,67.22,101.69
Chennai,13.0827,80.2707,2024-03-09,46.599,12.145,0.6909,33.622,0.436,27.33,85.84,12.22,0.23,1009.43,49.91,85.49
Chennai,13.0827,80.2707,2024-03-10,31.124,8.038,0.4155,11.498,0.4423,28.09,67.67,14.08,9.46,1009.01,24.38,39.96
Chennai,13.0827,80.2707,2024-03-11,43.806,13.804,0.7785,15.987,0.4246,27.01,69.89,6.74,6.95,1014.57,60.26,122.35
Chennai,13.0827,80.2707,2024-03-12,32.906,13.844,0.6193,20.596,0.4061,26.87,68.77,14.26,0.0,1013.81,33.6,52.24
Chennai,13.0827,80.2707,2024-03-13,41.193,13.328,0.6205,13.77,0.4371,24.33,64.4,10.62,0.0,1008.15,50.48,78.17
Chennai,13.0827,80.2707,2024-03-14,37.563,6.317,0.5309,28.963,0.5111,32.07,65.46,4.34,0.0,1012.39,73.68,145.78
Chennai,13.0827,80.2707,2024-03-15,46.603,15.065,0.6832,25.035,0.5624,31.35,86.82,6.86,0.0,1012.44,86.56,175.13
Chennai,13.0827,80.2707,2024-03-16,33.883,10.799,0.568,21.031,0.4509,28.33,74.64,10.56,0.0,1006.53,44.23,83.11
Chennai,13.0827,80.2707,2024-03-17,35.654,17.026,0.6209,23.007,0.4511,30.31,75.04,11.58,0.0,1006.68,52.92,82.63
Chennai,13.0827,80.2707,2024-03-18,42.184,12.451,0.5283,17.687,0.4616,24.5,82.42,7.39,0.0,1011.38,65.51,136.52
Chennai,13.0827,80.2707,2024-03-19,38.067,12.786,0.4014,24.945,0.536,24.84,71.49,5.56,0.0,1010.47,74.37,142.5
Chennai,13.0827,80.2707,2024-03-20,51.581,13.622,0.5139,21.345,0.5447,26.09,88.06,10.92,0.48,1010.38,67.33,102.26
Chennai,13.0827,80.2707,2024-03-21,39.043,10.391,0.5367,18.319,0.3957,30.65,78.39,10.32,0.07,1014.99,39.64,81.35
Chennai,13.0827,80.2707,2024-03-22,47.142,11.811,0.6158,25.01,0.4354,25.9,72.32,6.91,0.0,1010.96,76.55,127.18
Chennai,13.0827,80.2707,2024-03-23,40.031,10.827,0.4942,17.056,0.3523,35.55,69.28920502092052,11.36,0.0,1007.72,39.18,77.11
Chennai,13.0827,80.2707,2024-03-24,35.207,11.652,0.5006,33.814,0.4246,30.75,89.15,6.65,0.0,1011.11,57.12,71.72699152542373
Chennai,13.0827,80.2707,2024-03-25,33.579,12.273,0.437,24.887,0.4589,28.27,71.36,9.58,0.0,1008.6,47.68,72.42
Chennai,13.0827,80.2707,2024-03-26,48.179,15.678,0.7104,19.507,0.608,29.86,82.54,8.44,0.0,1014.95,86.34,156.78
Chennai,13.0827,80.2707,2024-03-27,36.904,9.525,0.4625,22.183,0.4779,37.05,74.19,6.64,0.0,1013.26,55.43,115.57
Chennai,13.0827,80.2707,2024-03-28,34.778,9.48,0.4674,22.521,0.3555,32.04,81.96,4.36,0.0,1008.3,49.22,103.0
Chennai,13.0827,80.2707,2024-03-29,38.366,9.503,0.539,7.884,0.306,31.78,76.42,10.4,0.0,1007.24,32.83,63.68
Chennai,13.0827,80.2707,2024-03-30,35.202,13.093,0.5187,10.06,0.4308,29.45,83.49,3.53,0.0,1011.71,70.17,112.14
Chennai,13.0827,80.2707,2024-03-31,38.015,13.997,0.4344,27.321,0.3791,26.02,72.82,3.93,0.0,1011.76,69.03,121.4
Chennai,13.0827,80.2707,2024-04-01,31.968,10.823,0.5975,26.497,0.5343,33.02,74.28,10.12,0.0,1014.9,49.51,80.38
Chennai,13.0827,80.2707,2024-04-02,32.346,11.291,0.437,17.98,0.3223,29.58,78.59,7.79,8.63,1011.03,36.63,71.72699152542373
Chennai,13.0827,80.2707,2024-04-03,32.72468487394958,10.452100840336136,0.3057,35.552,0.4395,32.89,66.68,10.85,0.0,1007.84,54.07,84.15
Chennai,13.0827,80.2707,2024-04-04,42.181,10.312,0.4827,22.87,0.4054,30.57,77.91,15.38,0.0,1010.83,27.61,50.86
Chennai,13.0827,80.2707,2024-04-05,47.298,14.431,0.4645,33.188,0.3636,31.01,68.94,9.26,0.0,1011.99,60.46,119.08
Chennai,13.0827,80.2707,2024-04-06,45.228,13.024,0.6874,31.795,0.3737,31.82,80.58,8.73,0.0,1015.13,63.04,99.11
Chennai,13.0827,80.2707,2024-04-07,34.763,8.953,0.3728,28.463,0.3304,27.92,57.72,7.93,0.15,1007.03,42.05,78.31
Chennai,13.0827,80.2707,2024-04-08,48.499,7.658,0.4958,22.451,0.5352,29.33,74.77,6.69,0.0,1006.4,71.1,131.4
Chennai,13.0827,80.2707,2024-04-09,49.443,16.077,0.6862,23.009,0.5369,30.06,79.34,9.55,0.67,1008.15,75.0,126.33
Chennai,13.0827,80.2707,2024-04-10,42.678,13.258,0.3696,13.855,0.4656,28.14,73.09,11.07,1.49,1008.09,44.84,86.34
Chennai,13.0827,80.2707,2024-04-11,30.504,14.138,0.4878,16.335,0.3997,31.85,75.97,12.77,0.0,1012.15,33.97,55.6
Chennai,13.0827,80.2707,2024-04-12,32.72468487394958,10.452100840336136,0.4851,18.918,0.4643,32.6,69.22,11.82,0.0,1009.32,39.39,74.86
Chennai,13.0827,80.2707,2024-04-13,31.168,15.834,0.3908,23.297,0.3412,29.92,78.42,12.93,0.0,1015.87,33.14,54.32
Chennai,13.0827,80.2707,2024-04-14,30.057,13.526,0.5592,25.838,0.384,27.28,59.46,12.37,0.0,1014.31,38.53,60.77
Chennai,13.0827,80.2707,2024-04-15,32.261,7.845,0.5371,13.364,0.3407,29.47,73.14,8.09,0.0,1011.1,40.15,65.86
Chennai,13.0827,80.2707,2024-04-16,38.364,13.121,0.719,14.007,0.3258,32.74,90.25,9.39,1.65,1016.18,45.26,93.89
Chennai,13.0827,80.2707,2024-04-17,30.652,11.738,0.3773,20.05,0.3308,29.23,84.52,12.83,0.0,1012.83,30.69,50.35
Chennai,13.0827,80.2707,2024-04-18,27.466,11.337,0.4136,29.036,0.3469,31.62,72.11,10.5,0.0,1010.54,28.45,54.77
Chennai,13.0827,80.2707,2024-04-19,23.848,6.234,0.4551,11.665,0.1981,32.17,94.48,10.22,0.0,1013.52,20.86,41.94
Chennai,13.0827,80.2707,2024-04-20,32.608,12.45,0.44,21.312,0.3935,29.6,82.42,9.86,2.37,1008.73,36.39,62.13
Chennai,13.0827,80.2707,2024-04-21,33.638,10.037,0.4748,34.497,0.346,29.71,78.67,4.04,0.92,1011.19,48.57,71.72699152542373
Chennai,13.0827,80.2707,2024-04-22,35.267,10.29,0.4956,20.022,0.2259,29.05,73.22,7.4,0.0,1012.8,38.43,72.64
Chennai,13.0827,80.2707,2024-04-23,38.617,10.323,0.4127,15.414,0.3305,30.49,75.67,10.89,0.0,1011.01,34.25,64.02
Chennai,13.0827,80.2707,2024-04-24,27.351,5.709,0.582,12.586,0.3814,28.6,59.83,11.91,0.0,1013.28,28.99,43.67
Chennai,13.0827,80.2707,2024-04-25,17.519,8.448,0.4433,9.891,0.3432,31.55,78.81,10.92,0.0,1008.08,22.1,44.35
Chennai,13.0827,80.2707,2024-04-26,26.822,9.188,0.3701,18.402,0.4719,28.22,61.2,14.37,0.0,1010.37,24.24,50.26
Chennai,13.0827,80.2707,2024-04-27,33.64,8.121,0.5384,21.675,0.2918,37.11,69.19,12.61,0.0,1011.9,23.76,44.39
Chennai,13.0827,80.2707,2024-04-28,27.516,10.939,0.3837,31.702,0.3601,30.86,75.44,7.46,0.0,1008.09,37.55,73.77
Chennai,13.0827,80.2707,2024-04-29,29.434,10.742,0.4295,22.276,0.2571,28.28,85.89,10.09,0.0,1010.25,25.62,50.34
Chennai,13.0827,80.2707,2024-04-30,43.884,9.032,0.5328,20.928,0.3835,35.72,77.86,12.31,0.83,1014.22,34.01,69.96
Chennai,13.0827,80.2707,2024-05-01,22.454,5.862,0.2529,21.337,0.3277,30.75,71.07,11.56,0.0,1010.51,20.48,34.23
Chennai,13.0827,80.2707,2024-05-02,32.878,11.816,0.3735,27.76,0.3426,34.24,79.51,8.51,0.0,1012.51,38.55,80.6
Chennai,13.0827,80.2707,2024-05-03,29.43,11.16,0.4637,19.46,0.2311,33.32,79.33,16.93,0.0,1014.23,15.02,25.21
Chennai,13.0827,80.2707,2024-05-04,40.32,12.488,0.599,19.193,0.4498,31.51,73.3,13.32,0.0,1008.22,38.43,59.94
Chennai,13.0827,80.2707,2024-05-05,31.978,11.616,0.3525,27.5,0.5024,30.91,64.48,12.02,2.86,1015.36,34.06,51.81
Chennai,13.0827,80.2707,2024-05-06,29.766,8.366,0.406,12.84,0.2728,34.06,70.28,15.71,0.0,1009.8,15.31,28.41
Chennai,13.0827,80.2707,2024-05-07,17.115,5.283,0.4257,13.433,0.4221,30.9,74.64,15.32,0.0,1017.02,12.59,23.45
Chennai,13.0827,80.2707,2024-05-08,36.161,12.255,0.4102,16.384,0.3675,31.94,69.44,13.28,0.0,1013.87,30.76,55.69
Chennai,13.0827,80.2707,2024-05-09,24.238,6.786,0.2222,16.4,0.2735,36.2,78.01,9.06,0.0,1016.56,21.32,42.03
Chennai,13.0827,80.2707,2024-05-10,23.417,8.263,0.4779,29.97,0.4196,31.25,63.9,12.04,5.65,1005.69,19.82,32.81
Chennai,13.0827,80.2707,2024-05-11,31.144,9.487,0.4875,20.622,0.4705,29.75,72.34,12.28,0.0,1009.86,31.73,55.91
Chennai,13.0827,80.2707,2024-05-12,35.89,10.892,0.3448,24.234,0.3092,33.47,73.61,9.4,4.73,1008.32,31.25,51.55
Chennai,13.0827,80.2707,2024-05-13,26.968,13.368,0.4159,21.496,0.2939,26.57,79.6,13.76,2.18,1010.16,22.1,45.92
Chennai,13.0827,80.2707,2024-05-14,31.036,9.526,0.3748,26.899,0.272,29.91,76.95,8.66,0.0,1018.24,32.1,59.86
Chennai,13.0827,80.2707,2024-05-15,23.826,7.309,0.3143,21.038,0.2544,35.28,93.6,11.33,0.0,1011.46,18.08,33.02
Chennai,13.0827,80.2707,2024-05-16,23.406,6.296,0.3805,16.643,0.4474,37.21,63.9,10.37,0.0,1011.22,25.39,50.37
Chennai,13.0827,80.2707,2024-05-17,25.195,6.99,0.401,14.062,0.2523,35.74,65.91,8.61,0.0,1011.28,22.23,45.08
Chennai,13.0827,80.2707,2024-05-18,28.697,9.008,0.3651,18.306,0.2447,33.09,78.98,9.87,0.0,1010.98,23.59,47.01
Chennai,13.0827,80.2707,2024-05-19,28.264,5.86,0.4603,25.081,0.4642,35.9,76.1,14.29,0.0,1010.42,23.23,37.04
Chennai,13.0827,80.2707,2024-05-20,33.962,11.558,0.3858,20.018,0.3771,31.61,67.55,13.2,1.16,1013.28,26.65,49.81
Chennai,13.0827,80.2707,2024-05-21,34.091,8.483,0.4144,13.164,0.3326,32.55,79.44,15.5,0.0,1018.77,17.99,36.59
Chennai,13.0827,80.2707,2024-05-22,25.583,9.458,0.3593,20.989,0.4012,30.55,80.54,15.9,0.0,1010.65,16.67,28.58
Chennai,13.0827,80.2707,2024-05-23,30.611,7.528,0.3837,28.364,0.3886,32.51,68.35,11.71,0.0,1008.23,28.07,54.72
Chennai,13.0827,80.2707,2024-05-24,39.022,11.986,0.3847,25.124,0.3375,30.89,73.75,9.82,0.0,1014.56,37.12,57.23
Chennai,13.0827,80.2707,2024-05-25,25.838,9.91,0.3412,25.568,0.207,33.51,86.53,10.34,0.72,1008.97,21.49,40.66
Chennai,13.0827,80.2707,2024-05-26,32.023,6.452,0.4701,22.972,0.3675,30.82,72.08,8.66,0.0,1004.17,31.23,57.09
Chennai,13.0827,80.2707,2024-05-27,26.434,8.177,0.297,18.72,0.3301,32.19,76.74,13.48,0.0,1011.95,18.9,28.56
Chennai,13.0827,80.2707,2024-05-28,25.66,10.603,0.3658,23.834,0.27,31.04,71.33,8.36,0.0,1010.11,28.56,47.93
Chennai,13.0827,80.2707,2024-05-29,24.042,10.215,0.4857,28.054,0.3407,35.19,65.26,13.35,0.0,1009.6,21.0,42.28
Chennai,13.0827,80.2707,2024-05-30,23.441,8.082,0.4108,19.234,0.3017,35.02,91.81,8.7,0.0,1008.94,21.31,41.86
Chennai,13.0827,80.2707,2024-05-31,29.349,13.643,0.2946,29.683,0.45,30.89,76.42,10.88,0.0,1011.09,31.72,56.86
Chennai,13.0827,80.2707,2024-06-01,27.275,11.596,0.4227,34.938,0.3049,33.2,68.54,12.27,0.3,1004.38,21.89,36.48
Chennai,13.0827,80.2707,2024-06-02,20.517,4.174,0.3426,16.62,0.1488,32.72,63.85,14.25,0.0,1015.02,8.42,14.11
Chennai,13.0827,80.2707,2024-06-03,27.773,8.252,0.2837,17.248,0.2195,36.22,69.88,18.27,0.0,1010.82,9.17,14.47
Chennai,13.0827,80.2707,2024-06-04,15.79,3.969,0.2021,19.309,0.287,29.61,76.72,12.39,0.12,1011.44,11.76,21.9
Chennai,13.0827,80.2707,2024-06-05,24.163,5.707,0.1546,12.967,0.2334,37.39,65.48,14.95,0.0,1010.5,11.15,21.27
Chennai,13.0827,80.2707,2024-06-06,18.138,9.442,0.4617,24.865,0.3648,33.77,63.29,9.5,0.0,1009.06,24.58,45.38
Chennai,13.0827,80.2707,2024-06-07,21.494,7.29,0.3405,17.076,0.2546,38.25,63.13,11.45,0.0,1007.72,12.64,22.34
Chennai,13.0827,80.2707,2024-06-08,28.453,4.404,0.303,9.024,0.3768,37.64,75.17,11.41,1.13,1015.45,20.76,32.92
Chennai,13.0827,80.2707,2024-06-09,27.053,9.979,0.4337,15.531,0.2468,29.5,62.33,16.36,0.0,1015.85,11.9,19.41
Chennai,13.0827,80.2707,2024-06-10,25.395,6.066,0.3698,16.604,0.2678,35.09,68.67,12.93,0.98,1010.67,14.95,23.86
Chennai,13.0827,80.2707,2024-06-11,17.383,5.861,0.2772,16.405,0.2598,29.9,56.57,15.41,1.61,1004.88,7.51,13.7
Chennai,13.0827,80.2707,2024-06-12,28.37,4.338,0.3127,15.904,0.2408,33.36,64.52,9.2,0.0,1013.24,21.14,33.47
Chennai,13.0827,80.2707,2024-06-13,23.906,3.167,0.3865,32.603,0.5032,30.72,72.1,13.05,0.0,1010.68,22.24,40.61
Chennai,13.0827,80.2707,2024-06-14,26.761,10.03,0.349,21.998,0.2445,34.49,65.22,15.84,0.0,1009.89,13.11,20.84
Chennai,13.0827,80.2707,2024-06-15,24.44,10.224,0.34,9.263,0.3678,31.58,62.57,12.86,0.0,1015.12,19.29,34.63
Chennai,13.0827,80.2707,2024-06-16,27.655,8.323,0.3953,25.494,0.3465,35.25,68.35,13.91,0.0,1010.55,18.71,32.99
Chennai,13.0827,80.2707,2024-06-17,9.243,9.403,0.3666,20.769,0.2508,36.69,75.05,12.53,0.89,1012.22,12.0,23.8
Chennai,13.0827,80.2707,2024-06-18,17.69,5.681,0.3516,20.166,0.277,34.95,62.55,16.27,0.0,1014.55,8.15,16.37
Chennai,13.0827,80.2707,2024-06-19,21.977,5.235,0.2925,8.769,0.1316,33.43,62.75,14.85,0.0,1010.6,8.42,12.99
Chennai,13.0827,80.2707,2024-06-20,26.195,6.475,0.3064,28.332,0.2594,33.47,67.63,14.23,0.53,1008.87,13.25,22.12
Chennai,13.0827,80.2707,2024-06-21,24.194,7.501,0.1774,25.633,0.1875,34.08,69.02,18.09,4.39,1007.07,7.38,13.29
Chennai,13.0827,80.2707,2024-06-22,20.754,7.609,0.4237,16.246,0.3928,36.06,71.1,15.34,0.0,1015.11,16.36,25.94
Chennai,13.0827,80.2707,2024-06-23,24.845,3.311,0.289,19.604,0.1724,32.39,66.58,17.18,3.66,1007.9,6.14,9.23
Chennai,13.0827,80.2707,2024-06-24,20.224,6.55,0.3231,12.556,0.2168,32.78,73.28,15.5,0.0,1011.58,10.69,21.87
Chennai,13.0827,80.2707,2024-06-25,23.187,8.148,0.2834,5.095,0.2559,37.53,73.53,17.3,0.0,1014.71,9.68,18.94
Chennai,13.0827,80.2707,2024-06-26,23.834,6.059,0.2942,23.441,0.3409,33.63,62.34,14.94,0.0,1012.8,12.93,22.95
Chennai,13.0827,80.2707,2024-06-27,15.343,5.785,0.2836,15.672,0.3306,34.8,68.18,16.53,0.0,1007.58,8.22,16.67
Chennai,13.0827,80.2707,2024-06-28,18.487,4.411,0.4106,23.509,0.2037,31.82,74.61,12.05,0.0,1015.93,12.35,20.0
Chennai,13.0827,80.2707,2024-06-29,24.424,5.843,0.2889,18.967,0.1737,35.85,61.32,14.49,0.0,1008.02,10.34,18.02
Chennai,13.0827,80.2707,2024-06-30,33.887,9.175,0.3765,25.319,0.3723,31.05,74.17,16.89,0.0,1013.15,17.18,35.84
Chennai,13.0827,80.2707,2024-07-01,27.302,6.948,0.2879,21.735,0.3872,30.9,53.35,15.54,0.0,1011.15,14.64,22.17
Chennai,13.0827,80.2707,2024-07-02,23.963,6.814,0.4397,10.1,0.1952,33.74,51.77,14.73,6.33,1015.98,9.52,19.66
Chennai,13.0827,80.2707,2024-07-03,23.916,7.127,0.2756,16.528,0.2202,34.85,56.79,16.18,3.33,1015.24,9.38,17.66
Chennai,13.0827,80.2707,2024-07-04,20.335,6.51,0.2495,21.528,0.3342,36.46,63.96,14.42,0.02,1011.46,14.7,27.62
Chennai,13.0827,80.2707,2024-07-05,18.56,6.222,0.31,16.971,0.1165,32.67,66.19,17.35,0.0,1009.15,5.33,9.74
Chennai,13.0827,80.2707,2024-07-06,20.213,6.218,0.1965,20.686,0.2549,34.11,66.88,14.22,0.0,1006.15,10.45,16.13
Chennai,13.0827,80.2707,2024-07-07,22.706,8.317,0.2675,20.044,0.2928,33.77,54.11,12.89,0.0,1013.49,15.01,28.53
Chennai,13.0827,80.2707,2024-07-08,16.466,7.235,0.4456,23.858,0.2387,35.55,53.73,13.58,0.0,1007.75,11.23,21.76
