city,latitude,longitude,date,NO2,SO2,CO,O3,AOD
Chennai,13.0827,80.2707,2024-02-10,37.988,14.888,0.6497,21.739,0.5842
Chennai,13.0827,80.2707,2024-02-11,53.603,14.005,0.6986,38.02,0.6391
Chennai,13.0827,80.2707,2024-02-12,37.688,10.943,0.4847,13.351,0.3686
Chennai,13.0827,80.2707,2024-02-13,40.199,14.745,0.6172,18.172,0.4331
Chennai,13.0827,80.2707,2024-02-14,37.376,10.205,0.5293,11.931,0.2932
Chennai,13.0827,80.2707,2024-02-15,47.846,18.353,0.7768,21.196,0.7272
Chennai,13.0827,80.2707,2024-02-16,45.164,15.302,0.7549,19.163,0.5088
Chennai,13.0827,80.2707,2024-02-17,33.452,9.883,0.5055,13.23,0.4268
Chennai,13.0827,80.2707,2024-02-18,46.343,15.284,0.6003,13.784,0.4938
Chennai,13.0827,80.2707,2024-02-19,48.981,14.439,0.7154,14.453,0.4796
Chennai,13.0827,80.2707,2024-02-20,47.497,15.033,0.6498,29.188,0.6394
Chennai,13.0827,80.2707,2024-02-21,48.395,12.304,0.4281,21.005,0.6831
Chennai,13.0827,80.2707,2024-02-22,38.549,11.451,0.7773,21.222,0.5047
Chennai,13.0827,80.2707,2024-02-23,45.237,17.452,0.4698,20.45,0.5931
Chennai,13.0827,80.2707,2024-02-24,36.246,15.315,0.5871,25.962,0.3507
Chennai,13.0827,80.2707,2024-02-25,39.951,11.127,0.5993,17.281,0.4497
Chennai,13.0827,80.2707,2024-02-26,37.461,12.206,0.4947,15.972,0.4415
Chennai,13.0827,80.2707,2024-02-27,40.015,13.628,0.6886,13.221,0.5711
Chennai,13.0827,80.2707,2024-02-28,39.521,12.822,0.4942,18.673,0.3364
Chennai,13.0827,80.2707,2024-02-29,38.315,17.447,0.455,9.794,0.4738
Chennai,13.0827,80.2707,2024-03-01,38.361,11.565,0.4811,16.438,0.4151
Chennai,13.0827,80.2707,2024-03-02,42.03,15.713,0.6722,12.719,0.4766
Chennai,13.0827,80.2707,2024-03-03,38.829,12.41,0.4826,14.273,0.3814
Chennai,13.0827,80.2707,2024-03-04,40.459,10.909,0.5312,31.27,0.4119
Chennai,13.0827,80.2707,2024-03-05,41.92,15.763,0.714,25.204,0.3844
Chennai,13.0827,80.2707,2024-03-06,48.739,17.334,0.7281,18.422,0.5565
Chennai,13.0827,80.2707,2024-03-07,44.334,13.158,0.5756,25.01,0.4226
Chennai,13.0827,80.2707,2024-03-08,40.348,13.501,0.4062,15.108,0.5153
Chennai,13.0827,80.2707,2024-03-09,46.599,12.145,0.6909,33.622,0.436
Chennai,13.0827,80.2707,2024-03-10,31.124,8.038,0.4155,11.498,0.4423
Chennai,13.0827,80.2707,2024-03-11,43.806,13.804,0.7785,15.987,0.4246
Chennai,13.0827,80.2707,2024-03-12,32.906,13.844,0.6193,20.596,0.4061
Chennai,13.0827,80.2707,2024-03-13,41.193,13.328,0.6205,13.77,0.4371
Chennai,13.0827,80.2707,2024-03-14,37.563,6.317,0.5309,28.963,0.5111
Chennai,13.0827,80.2707,2024-03-15,46.603,15.065,0.6832,25.035,0.5624
Chennai,13.0827,80.2707,2024-03-16,33.883,10.799,0.568,21.031,0.4509
Chennai,13.0827,80.2707,2024-03-17,35.654,17.026,0.6209,23.007,0.4511
Chennai,13.0827,80.2707,2024-03-18,42.184,12.451,0.5283,17.687,0.4616
Chennai,13.0827,80.2707,2024-03-19,38.067,12.786,0.4014,24.945,0.536
Chennai,13.0827,80.2707,2024-03-20,51.581,13.622,0.5139,21.345,0.5447
Chennai,13.0827,80.2707,2024-03-21,39.043,10.391,0.5367,18.319,0.3957
Chennai,13.0827,80.2707,2024-03-22,47.142,11.811,0.6158,25.01,0.4354
Chennai,13.0827,80.2707,2024-03-23,40.031,10.827,0.4942,17.056,0.3523
Chennai,13.0827,80.2707,2024-03-24,35.207,11.652,0.5006,33.814,0.4246
Chennai,13.0827,80.2707,2024-03-25,33.579,12.273,0.437,24.887,0.4589
Chennai,13.0827,80.2707,2024-03-26,48.179,15.678,0.7104,19.507,0.608
Chennai,13.0827,80.2707,2024-03-27,36.904,9.525,0.4625,22.183,0.4779
Chennai,13.0827,80.2707,2024-03-28,34.778,9.48,0.4674,22.521,0.3555
Chennai,13.0827,80.2707,2024-03-29,38.366,9.503,0.539,7.884,0.306
Chennai,13.0827,80.2707,2024-03-30,35.202,13.093,0.5187,10.06,0.4308
Chennai,13.0827,80.2707,2024-03-31,38.015,13.997,0.4344,27.321,0.3791
Chennai,13.0827,80.2707,2024-04-01,31.968,10.823,0.5975,26.497,0.5343
Chennai,13.0827,80.2707,2024-04-02,32.346,11.291,0.437,17.98,0.3223
Chennai,13.0827,80.2707,2024-04-03,,,0.3057,35.552,0.4395
Chennai,13.0827,80.2707,2024-04-04,42.181,10.312,0.4827,22.87,0.4054
Chennai,13.0827,80.2707,2024-04-05,47.298,14.431,0.4645,33.188,0.3636
Chennai,13.0827,80.2707,2024-04-06,45.228,13.024,0.6874,31.795,0.3737
Chennai,13.0827,80.2707,2024-04-07,34.763,8.953,0.3728,28.463,0.3304
Chennai,13.0827,80.2707,2024-04-08,48.499,7.658,0.4958,22.451,0.5352
Chennai,13.0827,80.2707,2024-04-09,49.443,16.077,0.6862,23.009,0.5369
Chennai,13.0827,80.2707,2024-04-10,42.678,13.258,0.3696,13.855,0.4656
Chennai,13.0827,80.2707,2024-04-11,30.504,14.138,0.4878,16.335,0.3997
Chennai,13.0827,80.2707,2024-04-12,,,0.4851,18.918,0.4643
Chennai,13.0827,80.2707,2024-04-13,31.168,15.834,0.3908,23.297,0.3412
Chennai,13.0827,80.2707,2024-04-14,30.057,13.526,0.5592,25.838,0.384
Chennai,13.0827,80.2707,2024-04-15,32.261,7.845,0.5371,13.364,0.3407
Chennai,13.0827,80.2707,2024-04-16,38.364,13.121,0.719,14.007,0.3258
Chennai,13.0827,80.2707,2024-04-17,30.652,11.738,0.3773,20.05,0.3308
Chennai,13.0827,80.2707,2024-04-18,27.466,11.337,0.4136,29.036,0.3469
Chennai,13.0827,80.2707,2024-04-19,23.848,6.234,0.4551,11.665,0.1981
Chennai,13.0827,80.2707,2024-04-20,32.608,12.45,0.44,21.312,0.3935
Chennai,13.0827,80.2707,2024-04-21,33.638,10.037,0.4748,34.497,0.346
Chennai,13.0827,80.2707,2024-04-22,35.267,10.29,0.4956,20.022,0.2259
Chennai,13.0827,80.2707,2024-04-23,38.617,10.323,0.4127,15.414,0.3305
Chennai,13.0827,80.2707,2024-04-24,27.351,5.709,0.582,12.586,0.3814
Chennai,13.0827,80.2707,2024-04-25,17.519,8.448,0.4433,9.891,0.3432
Chennai,13.0827,80.2707,2024-04-26,26.822,9.188,0.3701,18.402,0.4719
Chennai,13.0827,80.2707,2024-04-27,33.64,8.121,0.5384,21.675,0.2918
Chennai,13.0827,80.2707,2024-04-28,27.516,10.939,0.3837,31.702,0.3601
Chennai,13.0827,80.2707,2024-04-29,29.434,10.742,0.4295,22.276,0.2571
Chennai,13.0827,80.2707,2024-04-30,43.884,9.032,0.5328,20.928,0.3835
Chennai,13.0827,80.2707,2024-05-01,22.454,5.862,0.2529,21.337,0.3277
Chennai,13.0827,80.2707,2024-05-02,32.878,11.816,0.3735,27.76,0.3426
Chennai,13.0827,80.2707,2024-05-03,29.43,11.16,0.4637,19.46,0.2311
Chennai,13.0827,80.2707,2024-05-04,40.32,12.488,0.599,19.193,0.4498
Chennai,13.0827,80.2707,2024-05-05,31.978,11.616,0.3525,27.5,0.5024
Chennai,13.0827,80.2707,2024-05-06,29.766,8.366,0.406,12.84,0.2728
Chennai,13.0827,80.2707,2024-05-07,17.115,5.283,0.4257,13.433,0.4221
Chennai,13.0827,80.2707,2024-05-08,36.161,12.255,0.4102,16.384,0.3675
Chennai,13.0827,80.2707,2024-05-09,24.238,6.786,0.2222,16.4,0.2735
Chennai,13.0827,80.2707,2024-05-10,23.417,8.263,0.4779,29.97,0.4196
Chennai,13.0827,80.2707,2024-05-11,31.144,9.487,0.4875,20.622,0.4705
Chennai,13.0827,80.2707,2024-05-12,35.89,10.892,0.3448,24.234,0.3092
Chennai,13.0827,80.2707,2024-05-13,26.968,13.368,0.4159,21.496,0.2939
Chennai,13.0827,80.2707,2024-05-14,31.036,9.526,0.3748,26.899,0.272
Chennai,13.0827,80.2707,2024-05-15,23.826,7.309,0.3143,21.038,0.2544
Chennai,13.0827,80.2707,2024-05-16,23.406,6.296,0.3805,16.643,0.4474
Chennai,13.0827,80.2707,2024-05-17,25.195,6.99,0.401,14.062,0.2523
Chennai,13.0827,80.2707,2024-05-18,28.697,9.008,0.3651,18.306,0.2447
Chennai,13.0827,80.2707,2024-05-19,28.264,5.86,0.4603,25.081,0.4642
Chennai,13.0827,80.2707,2024-05-20,33.962,11.558,0.3858,20.018,0.3771
Chennai,13.0827,80.2707,2024-05-21,34.091,8.483,0.4144,13.164,0.3326
Chennai,13.0827,80.2707,2024-05-22,25.583,9.458,0.3593,20.989,0.4012
Chennai,13.0827,80.2707,2024-05-23,30.611,7.528,0.3837,28.364,0.3886
Chennai,13.0827,80.2707,2024-05-24,39.022,11.986,0.3847,25.124,0.3375
Chennai,13.0827,80.2707,2024-05-25,25.838,9.91,0.3412,25.568,0.207
Chennai,13.0827,80.2707,2024-05-26,32.023,6.452,0.4701,22.972,0.3675
Chennai,13.0827,80.2707,2024-05-27,26.434,8.177,0.297,18.72,0.3301
Chennai,13.0827,80.2707,2024-05-28,25.66,10.603,0.3658,23.834,0.27
Chennai,13.0827,80.2707,2024-05-29,24.042,10.215,0.4857,28.054,0.3407
Chennai,13.0827,80.2707,2024-05-30,23.441,8.082,0.4108,19.234,0.3017
Chennai,13.0827,80.2707,2024-05-31,29.349,13.643,0.2946,29.683,0.45
Chennai,13.0827,80.2707,2024-06-01,27.275,11.596,0.4227,34.938,0.3049
Chennai,13.0827,80.2707,2024-06-02,20.517,4.174,0.3426,16.62,0.1488
Chennai,13.0827,80.2707,2024-06-03,27.773,8.252,0.2837,17.248,0.2195
Chennai,13.0827,80.2707,2024-06-04,15.79,3.969,0.2021,19.309,0.287
Chennai,13.0827,80.2707,2024-06-05,24.163,5.707,0.1546,12.967,0.2334
Chennai,13.0827,80.2707,2024-06-06,18.138,9.442,0.4617,24.865,0.3648
Chennai,13.0827,80.2707,2024-06-07,21.494,7.29,0.3405,17.076,0.2546
Chennai,13.0827,80.2707,2024-06-08,28.453,4.404,0.303,9.024,0.3768
Chennai,13.0827,80.2707,2024-06-09,27.053,9.979,0.4337,15.531,0.2468
Chennai,13.0827,80.2707,2024-06-10,25.395,6.066,0.3698,16.604,0.2678
Chennai,13.0827,80.2707,2024-06-11,17.383,5.861,0.2772,16.405,0.2598
Chennai,13.0827,80.2707,2024-06-12,28.37,4.338,0.3127,15.904,0.2408
Chennai,13.0827,80.2707,2024-06-13,23.906,3.167,0.3865,32.603,0.5032
Chennai,13.0827,80.2707,2024-06-14,26.761,10.03,0.349,21.998,0.2445
Chennai,13.0827,80.2707,2024-06-15,24.44,10.224,0.34,9.263,0.3678
Chennai,13.0827,80.2707,2024-06-16,27.655,8.323,0.3953,25.494,0.3465
Chennai,13.0827,80.2707,2024-06-17,9.243,9.403,0.3666,20.769,0.2508
Chennai,13.0827,80.2707,2024-06-18,17.69,5.681,0.3516,20.166,0.277
Chennai,13.0827,80.2707,2024-06-19,21.977,5.235,0.2925,8.769,0.1316
Chennai,13.0827,80.2707,2024-06-20,26.195,6.475,0.3064,28.332,0.2594
Chennai,13.0827,80.2707,2024-06-21,24.194,7.501,0.1774,25.633,0.1875
Chennai,13.0827,80.2707,2024-06-22,20.754,7.609,0.4237,16.246,0.3928
Chennai,13.0827,80.2707,2024-06-23,24.845,3.311,0.289,19.604,0.1724
Chennai,13.0827,80.2707,2024-06-24,20.224,6.55,0.3231,12.556,0.2168
Chennai,13.0827,80.2707,2024-06-25,23.187,8.148,0.2834,5.095,0.2559
Chennai,13.0827,80.2707,2024-06-26,23.834,6.059,0.2942,23.441,0.3409
Chennai,13.0827,80.2707,2024-06-27,15.343,5.785,0.2836,15.672,0.3306
Chennai,13.0827,80.2707,2024-06-28,18.487,4.411,0.4106,23.509,0.2037
Chennai,13.0827,80.2707,2024-06-29,24.424,5.843,0.2889,18.967,0.1737
Chennai,13.0827,80.2707,2024-06-30,33.887,9.175,0.3765,25.319,0.3723
Chennai,13.0827,80.2707,2024-07-01,27.302,6.948,0.2879,21.735,0.3872
Chennai,13.0827,80.2707,2024-07-02,23.963,6.814,0.4397,10.1,0.1952
Chennai,13.0827,80.2707,2024-07-03,23.916,7.127,0.2756,16.528,0.2202
Chennai,13.0827,80.2707,2024-07-04,20.335,6.51,0.2495,21.528,0.3342
Chennai,13.0827,80.2707,2024-07-05,18.56,6.222,0.31,16.971,0.1165
Chennai,13.0827,80.2707,2024-07-06,20.213,6.218,0.1965,20.686,0.2549
Chennai,13.0827,80.2707,2024-07-07,22.706,8.317,0.2675,20.044,0.2928
Chennai,13.0827,80.2707,2024-07-08,16.466,7.235,0.4456,23.858,0.2387
Chennai,13.0827,80.2707,2024-07-09,17.321,6.875,0.2643,14.451,0.2653
Chennai,13.0827,80.2707,2024-07-10,25.23,9.534,0.2636,22.204,0.1374
Chennai,13.0827,80.2707,2024-07-11,18.082,6.093,0.2389,8.38,0.3144
Chennai,13.0827,80.2707,2024-07-12,23.307,7.373,0.05,25.672,0.1791
Chennai,13.0827,80.2707,2024-07-13,15.773,5.429,0.2335,18.504,0.1175
Chennai,13.0827,80.2707,2024-07-14,20.319,5.906,0.3228,13.518,0.1768
Chennai,13.0827,80.2707,2024-07-15,19.473,6.964,0.3934,27.668,0.2608
Chennai,13.0827,80.2707,2024-07-16,20.191,8.627,0.3337,10.544,0.3186
Chennai,13.0827,80.2707,2024-07-17,30.414,9.777,0.3404,29.404,0.3507
Chennai,13.0827,80.2707,2024-07-18,30.019,9.344,0.3542,5.807,0.2711
Chennai,13.0827,80.2707,2024-07-19,16.499,7.203,0.2891,18.405,0.204
Chennai,13.0827,80.2707,2024-07-20,18.114,4.223,0.1996,19.158,0.2666
Chennai,13.0827,80.2707,2024-07-21,18.949,5.074,0.2216,27.225,0.1414
Chennai,13.0827,80.2707,2024-07-22,22.799,7.524,0.3593,27.696,0.2871
Chennai,13.0827,80.2707,2024-07-23,18.711,5.824,0.1688,11.123,0.2433
Chennai,13.0827,80.2707,2024-07-24,16.886,3.211,0.269,22.686,0.1415
Chennai,13.0827,80.2707,2024-07-25,22.151,7.338,0.1836,20.606,0.2997
Chennai,13.0827,80.2707,2024-07-26,25.41,8.383,0.2172,27.49,0.3515
Chennai,13.0827,80.2707,2024-07-27,23.263,9.333,0.2596,21.971,0.2679
Chennai,13.0827,80.2707,2024-07-28,21.817,10.263,0.415,24.391,0.181
Chennai,13.0827,80.2707,2024-07-29,32.121,6.449,0.3578,24.339,0.3054
Chennai,13.0827,80.2707,2024-07-30,20.433,7.725,0.2684,23.562,0.3772
Chennai,13.0827,80.2707,2024-07-31,21.673,4.988,0.3782,26.402,0.1651
Chennai,13.0827,80.2707,2024-08-01,18.931,6.175,0.4285,11.941,0.3074
Chennai,13.0827,80.2707,2024-08-02,18.637,4.82,0.2387,35.716,0.3253
Chennai,13.0827,80.2707,2024-08-03,23.807,7.271,0.1358,17.848,0.1899
Chennai,13.0827,80.2707,2024-08-04,26.923,11.916,0.2373,23.468,0.1977
Chennai,13.0827,80.2707,2024-08-05,31.811,6.781,0.356,15.021,0.2368
Chennai,13.0827,80.2707,2024-08-06,37.246,4.607,0.1885,34.492,0.3165
Chennai,13.0827,80.2707,2024-08-07,20.413,4.786,0.2985,12.409,0.1993
Chennai,13.0827,80.2707,2024-08-08,18.961,11.32,0.395,12.851,0.3133
Chennai,13.0827,80.2707,2024-08-09,29.26,7.789,0.2893,18.416,0.3195
Chennai,13.0827,80.2707,2024-08-10,20.724,7.151,0.2759,18.139,0.3606
Chennai,13.0827,80.2707,2024-08-11,32.698,9.647,0.2581,20.26,0.2866
Chennai,13.0827,80.2707,2024-08-12,29.48,8.246,0.4752,23.815,0.2169
Chennai,13.0827,80.2707,2024-08-13,25.477,11.123,0.4221,21.133,0.3349
Chennai,13.0827,80.2707,2024-08-14,18.173,8.362,0.2868,10.241,0.2405
Chennai,13.0827,80.2707,2024-08-15,20.041,8.585,0.3613,12.188,0.3788
Chennai,13.0827,80.2707,2024-08-16,29.617,10.114,0.4407,15.534,0.4109
Chennai,13.0827,80.2707,2024-08-17,25.179,7.613,0.2632,14.212,0.2649
Chennai,13.0827,80.2707,2024-08-18,21.08,9.943,0.2827,8.527,0.3083
Chennai,13.0827,80.2707,2024-08-19,36.1,10.138,0.5202,25.288,0.3352
Chennai,13.0827,80.2707,2024-08-20,26.212,4.645,0.3397,25.561,0.3005
Chennai,13.0827,80.2707,2024-08-21,24.959,8.264,0.2524,27.931,0.3696
Chennai,13.0827,80.2707,2024-08-22,31.819,9.224,0.3602,21.558,0.348
Chennai,13.0827,80.2707,2024-08-23,21.745,6.51,0.3233,7.265,0.2818
Chennai,13.0827,80.2707,2024-08-24,24.035,7.915,0.3794,14.854,0.3626
Chennai,13.0827,80.2707,2024-08-25,20.443,7.362,0.2163,16.144,0.2503
Chennai,13.0827,80.2707,2024-08-26,18.46,6.307,0.2645,24.34,0.1742
Chennai,13.0827,80.2707,2024-08-27,17.133,7.768,0.3992,22.02,0.5003
Coimbatore,11.0168,76.9558,2024-01-01,20.209,10.583,0.5349,30.257,0.3788
Coimbatore,11.0168,76.9558,2024-01-02,28.062,12.587,0.4177,7.336,0.2501
Coimbatore,11.0168,76.9558,2024-01-03,34.786,11.105,0.3698,24.836,0.5483
Coimbatore,11.0168,76.9558,2024-01-04,31.035,8.002,0.369,26.324,0.3084
Coimbatore,11.0168,76.9558,2024-01-05,31.207,12.48,0.4658,23.132,0.3923
Coimbatore,11.0168,76.9558,2024-01-06,38.526,14.511,0.5692,28.632,0.3239
Coimbatore,11.0168,76.9558,2024-01-07,35.621,7.075,0.3367,25.73,0.443
Coimbatore,11.0168,76.9558,2024-01-08,25.137,13.073,0.5211,32.084,0.6824
Coimbatore,11.0168,76.9558,2024-01-09,31.846,9.985,0.4652,36.899,0.3731
Coimbatore,11.0168,76.9558,2024-01-10,37.93,11.282,0.5867,23.677,0.4392
Coimbatore,11.0168,76.9558,2024-01-11,47.983,15.547,0.5464,27.551,0.5513
Coimbatore,11.0168,76.9558,2024-01-12,37.05,14.126,0.5382,34.085,0.3543
Coimbatore,11.0168,76.9558,2024-01-13,45.447,9.969,0.6714,36.002,0.4016
Coimbatore,11.0168,76.9558,2024-01-14,45.21,11.523,0.3576,34.095,0.2909
Coimbatore,11.0168,76.9558,2024-01-15,45.959,16.709,0.6183,29.981,0.5038
Coimbatore,11.0168,76.9558,2024-01-16,32.611,12.404,0.6744,18.356,0.4455
Coimbatore,11.0168,76.9558,2024-01-17,30.675,13.132,0.3971,37.333,0.3882
Coimbatore,11.0168,76.9558,2024-01-18,17.388,8.531,0.4416,29.192,0.2979
Coimbatore,11.0168,76.9558,2024-01-19,38.522,10.549,0.51,13.88,0.3586
Coimbatore,11.0168,76.9558,2024-01-20,30.4,11.1,0.4495,22.095,0.3646
Coimbatore,11.0168,76.9558,2024-01-21,26.6,8.978,0.3615,32.505,0.281
Coimbatore,11.0168,76.9558,2024-01-22,29.027,9.951,0.4936,24.47,0.2447
Coimbatore,11.0168,76.9558,2024-01-23,45.965,18.043,0.5633,33.086,0.5142
Coimbatore,11.0168,76.9558,2024-01-24,35.551,17.263,0.3035,35.094,0.2935
Coimbatore,11.0168,76.9558,2024-01-25,38.251,13.293,0.5428,42.043,0.5477
Coimbatore,11.0168,76.9558,2024-01-26,32.26,13.718,0.4378,22.534,0.3644
Coimbatore,11.0168,76.9558,2024-01-27,32.237,10.629,0.4196,24.47,0.3613
Coimbatore,11.0168,76.9558,2024-01-28,37.609,13.235,0.4133,31.496,0.3775
Coimbatore,11.0168,76.9558,2024-01-29,28.927,10.097,0.385,30.703,0.3368
Coimbatore,11.0168,76.9558,2024-01-30,42.55,11.629,0.6126,29.85,0.3999
Coimbatore,11.0168,76.9558,2024-01-31,31.255,13.05,0.4946,28.303,0.4632
Coimbatore,11.0168,76.9558,2024-02-01,39.113,11.63,0.4154,35.246,0.2985
Coimbatore,11.0168,76.9558,2024-02-02,25.0,8.283,0.6101,16.896,0.3257
Coimbatore,11.0168,76.9558,2024-02-03,33.823,13.341,0.494,27.834,0.4902
Coimbatore,11.0168,76.9558,2024-02-04,34.491,14.016,0.4503,35.76,0.3316
Coimbatore,11.0168,76.9558,2024-02-05,37.889,11.279,0.3562,24.139,0.5731
Coimbatore,11.0168,76.9558,2024-02-06,40.351,11.404,0.7324,18.898,0.474
Coimbatore,11.0168,76.9558,2024-02-07,35.963,13.657,0.5868,28.177,0.4121
Coimbatore,11.0168,76.9558,2024-02-08,47.914,10.081,0.4914,32.275,0.4681
Coimbatore,11.0168,76.9558,2024-02-09,26.013,9.39,0.3887,27.145,0.4907
Coimbatore,11.0168,76.9558,2024-02-10,30.37,10.614,0.4883,33.729,0.3798
Coimbatore,11.0168,76.9558,2024-02-11,29.381,8.32,0.4603,35.195,0.3938
Coimbatore,11.0168,76.9558,2024-02-12,24.283,12.373,0.4814,25.25,0.3481
Coimbatore,11.0168,76.9558,2024-02-13,28.988,10.737,0.4221,23.191,0.2793
Coimbatore,11.0168,76.9558,2024-02-14,44.19,16.38,0.4429,24.179,0.4442
Coimbatore,11.0168,76.9558,2024-02-15,42.817,14.609,0.4196,40.462,0.3735
Coimbatore,11.0168,76.9558,2024-02-16,30.919,8.221,0.4684,15.76,0.3264
Coimbatore,11.0168,76.9558,2024-02-17,37.296,13.907,0.6404,53.491,0.4248
Coimbatore,11.0168,76.9558,2024-02-18,33.53,9.902,0.3779,30.999,0.3575
Coimbatore,11.0168,76.9558,2024-02-19,24.165,8.654,0.379,32.702,0.2284
Coimbatore,11.0168,76.9558,2024-02-20,34.014,11.939,0.276,33.357,0.3957
Coimbatore,11.0168,76.9558,2024-02-21,30.729,11.623,0.4553,19.375,0.3171
Coimbatore,11.0168,76.9558,2024-02-22,41.69,11.974,0.5746,32.248,0.4841
Coimbatore,11.0168,76.9558,2024-02-23,42.301,8.893,0.5593,29.137,0.4567
Coimbatore,11.0168,76.9558,2024-02-24,21.568,6.12,0.4548,28.251,0.4
Coimbatore,11.0168,76.9558,2024-02-25,35.791,15.819,0.5468,27.25,0.458
Coimbatore,11.0168,76.9558,2024-02-26,45.618,11.384,0.2911,29.977,0.4174
Coimbatore,11.0168,76.9558,2024-02-27,30.712,11.109,0.4032,30.33,0.4856
Coimbatore,11.0168,76.9558,2024-02-28,33.362,9.584,0.3531,30.603,0.3665
Coimbatore,11.0168,76.9558,2024-02-29,37.029,9.375,0.5191,38.065,0.2234
Coimbatore,11.0168,76.9558,2024-03-01,31.271,6.067,0.4845,41.161,0.2852
Coimbatore,11.0168,76.9558,2024-03-02,33.731,8.225,0.5619,36.842,0.5603
Coimbatore,11.0168,76.9558,2024-03-03,,,0.4709,33.689,0.3878
Coimbatore,11.0168,76.9558,2024-03-04,36.368,12.056,0.6009,33.279,0.4747
Coimbatore,11.0168,76.9558,2024-03-05,26.148,7.819,0.3295,37.131,0.4089
Coimbatore,11.0168,76.9558,2024-03-06,44.133,11.678,0.6146,46.324,0.4787
Coimbatore,11.0168,76.9558,2024-03-07,25.592,12.921,0.4037,29.911,0.273
Coimbatore,11.0168,76.9558,2024-03-08,33.123,11.336,0.4941,22.1,0.3298
Coimbatore,11.0168,76.9558,2024-03-09,33.157,10.423,0.6207,23.625,0.3821
Coimbatore,11.0168,76.9558,2024-03-10,32.107,9.469,0.4598,24.48,0.3275
Coimbatore,11.0168,76.9558,2024-03-11,32.089,11.916,0.5305,34.097,0.3226
Coimbatore,11.0168,76.9558,2024-03-12,26.52,10.316,0.444,34.116,0.2518
Coimbatore,11.0168,76.9558,2024-03-13,39.984,8.658,0.5649,31.585,0.3987
Coimbatore,11.0168,76.9558,2024-03-14,38.037,11.395,0.3751,44.342,0.3746
Coimbatore,11.0168,76.9558,2024-03-15,33.531,9.381,0.4255,23.984,0.2487
